#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr1	2000000	2250000	P5_INV	0.977568	12	31	166	211	0.440318	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	2250000	2500000	P5_DCIS	1.10448	37	48	642	1150	0.358259	23	1|1	0.320065	4|2	0	3|2	0.297808	2|2	0.195104	8|2	0.187023
chr1	2250000	2500000	P5_INV	0.97762	29	29	342	527	0.393556	23	1|1	0.55936	4|2	0.279445	3|2	0	2|2	0.161195	8|2	0
chr1	2500000	2750000	P5_DCIS	1.17587	22	31	209	482	0.30246	4	1|1	0.320065	6|2	0	9|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	2500000	2750000	P5_INV	1.10225	20	21	156	264	0.371429	4	1|1	0.55936	6|2	0.279445	9|2	0	3|2	0.161195	3|2	0
chr1	3000000	3250000	P5_DCIS	0.644659	1	30	15	15	0.5	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	3000000	3250000	P5_INV	0.842323	1	31	14	17	0.451613	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	3250000	3500000	P5_DCIS	0.727362	34	25	357	497	0.418033	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	3250000	3500000	P5_INV	0.784099	23	23	231	315	0.423077	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	3500000	3750000	P5_DCIS	0.792376	40	42	766	926	0.452719	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	3500000	3750000	P5_INV	0.82346	32	36	487	667	0.42201	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	3750000	4000000	P5_DCIS	0.820278	26	35	391	544	0.418182	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	3750000	4000000	P5_INV	1.00711	21	30	263	375	0.412226	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	4000000	4250000	P5_DCIS	0.641474	1	12	6	6	0.5	29	1|1	0.320065	6|0	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	4000000	4250000	P5_INV	0.904299	1	9	2	7	0.222222	29	1|1	0.55936	6|0	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	4750000	5000000	P5_DCIS	0.66279	2	48	43	53	0.447917	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	4750000	5000000	P5_INV	0.881494	2	54	41	68	0.376147	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	5750000	6000000	P5_DCIS	0.718659	8	25	82	123	0.4	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	5750000	6000000	P5_INV	0.847573	4	27	43	68	0.387387	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	6000000	6250000	P5_DCIS	0.85714	38	42	685	945	0.420245	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	6000000	6250000	P5_INV	0.857299	33	35	477	691	0.40839	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	6250000	6500000	P5_DCIS	0.913047	3	35	43	64	0.401869	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	6250000	6500000	P5_INV	0.916863	3	26	30	48	0.384615	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	6500000	6750000	P5_DCIS	0.920161	3	29	38	50	0.431818	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	6500000	6750000	P5_INV	0.960234	2	23	17	29	0.369565	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	7000000	7250000	P5_DCIS	0.717689	1	33	15	18	0.454545	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	7000000	7250000	P5_INV	0.931894	1	27	12	15	0.444444	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	7500000	7750000	P5_DCIS	0.713981	1	53	21	32	0.396226	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	7500000	7750000	P5_INV	0.766748	1	30	12	18	0.4	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	7750000	8000000	P5_DCIS	0.792078	21	53	488	630	0.436494	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	7750000	8000000	P5_INV	0.889432	13	68	397	493	0.446067	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	8000000	8250000	P5_DCIS	0.860542	1	46	22	24	0.478261	8	1|1	0.320065	3|3	0	4|4	0.297808	3|3	0.195104	2|2	0.187023
chr1	8000000	8250000	P5_INV	1.00117	1	16	7	9	0.4375	8	1|1	0.55936	3|3	0.279445	4|4	0	3|3	0.161195	2|2	0
chr1	8250000	8500000	P5_DCIS	0.852762	2	30	22	38	0.366667	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	8250000	8500000	P5_INV	0.977839	2	19	18	21	0.461538	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	8500000	8750000	P5_DCIS	0.928778	2	109	99	119	0.454128	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	8500000	8750000	P5_INV	0.950649	2	52	48	56	0.461538	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	8750000	9000000	P5_DCIS	0.990367	4	46	84	101	0.454054	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	8750000	9000000	P5_INV	0.984993	3	43	54	76	0.415385	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	9000000	9250000	P5_DCIS	0.92835	13	36	208	267	0.437895	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	9000000	9250000	P5_INV	0.986705	9	31	115	172	0.400697	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	9500000	9750000	P5_DCIS	0.908047	2	32	29	36	0.446154	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	9500000	9750000	P5_INV	0.872466	2	17	15	19	0.441176	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	9750000	10000000	P5_DCIS	0.943612	18	52	422	530	0.443277	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	9750000	10000000	P5_INV	0.946806	13	45	249	339	0.423469	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	10250000	10500000	P5_DCIS	0.848655	31	66	889	1158	0.434294	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	10250000	10500000	P5_INV	0.943881	27	58	666	920	0.419924	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	10500000	10750000	P5_DCIS	0.855587	17	32	235	310	0.431193	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	10500000	10750000	P5_INV	0.861299	11	32	124	232	0.348315	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	10750000	11000000	P5_DCIS	0.831598	2	18	15	22	0.405405	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	10750000	11000000	P5_INV	0.841713	2	14	14	15	0.482759	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	11000000	11250000	P5_DCIS	0.89337	37	49	833	1006	0.452964	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	11000000	11250000	P5_INV	0.971128	27	44	500	700	0.416667	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	11250000	11500000	P5_DCIS	0.863843	14	38	227	310	0.422719	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	11250000	11500000	P5_INV	0.893747	10	27	121	153	0.441606	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	11500000	11750000	P5_DCIS	0.8569	6	26	68	93	0.42236	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	11500000	11750000	P5_INV	0.863201	3	31	34	59	0.365591	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	11750000	12000000	P5_DCIS	0.874958	5	45	98	131	0.427948	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	11750000	12000000	P5_INV	0.870149	4	41	77	90	0.461078	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	12000000	12250000	P5_DCIS	0.923111	24	34	352	469	0.428745	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	12000000	12250000	P5_INV	0.899542	17	26	172	276	0.383929	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	12250000	12500000	P5_DCIS	0.814616	11	54	257	338	0.431933	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	12250000	12500000	P5_INV	0.890283	9	47	170	258	0.397196	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	12500000	12750000	P5_DCIS	0.84624	1	26	12	14	0.461538	5	1|1	0.320065	3|1	0	2|2	0.297808	3|1	0.195104	2|0	0.187023
chr1	12500000	12750000	P5_INV	0.868042	1	10	3	7	0.3	5	1|1	0.55936	3|1	0.279445	2|2	0	3|1	0.161195	2|0	0
chr1	12750000	13000000	P5_DCIS	0.760772	43	86	1601	2112	0.431188	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	12750000	13000000	P5_INV	0.791664	30	80	997	1403	0.415417	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	13000000	13250000	P5_DCIS	0.752623	14	66	386	543	0.415501	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	13000000	13250000	P5_INV	0.756978	12	48	233	345	0.403114	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	13250000	13500000	P5_DCIS	0.833948	2	108	96	120	0.444444	34	1|1	0.320065	3|2	0	2|4	0.297808	5|2	0.195104	6|5	0.187023
chr1	13250000	13500000	P5_INV	0.646481	2	97	74	120	0.381443	34	1|1	0.55936	3|2	0.279445	2|4	0	5|2	0.161195	6|5	0
chr1	13500000	13750000	P5_DCIS	0.732289	4	175	296	405	0.422254	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	13500000	13750000	P5_INV	0.726606	4	150	251	349	0.418333	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	13750000	14000000	P5_DCIS	0.725932	2	49	46	53	0.464646	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	13750000	14000000	P5_INV	0.861505	2	42	36	48	0.428571	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	14000000	14250000	P5_DCIS	0.77883	6	44	116	149	0.437736	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	14000000	14250000	P5_INV	0.885117	4	50	80	120	0.4	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	15250000	15500000	P5_DCIS	0.769421	11	33	167	204	0.450135	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	15250000	15500000	P5_INV	0.799914	7	38	117	153	0.433333	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	15500000	15750000	P5_DCIS	0.836433	8	62	195	301	0.393145	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	15500000	15750000	P5_INV	0.896175	6	46	118	163	0.419929	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	15750000	16000000	P5_DCIS	0.928326	2	31	29	34	0.460317	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	15750000	16000000	P5_INV	0.934422	2	24	21	27	0.4375	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	16000000	16250000	P5_DCIS	0.956398	5	33	74	93	0.443114	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	16000000	16250000	P5_INV	0.972453	4	33	54	78	0.409091	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	16250000	16500000	P5_DCIS	0.860681	14	24	114	225	0.336283	25	1|1	0.320065	2|1	0	2|1	0.297808	2|1	0.195104	2|1	0.187023
chr1	16250000	16500000	P5_INV	0.824246	8	19	54	102	0.346154	25	1|1	0.55936	2|1	0.279445	2|1	0	2|1	0.161195	2|1	0
chr1	16500000	16750000	P5_DCIS	0.929594	3	27	34	47	0.419753	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	16500000	16750000	P5_INV	0.866005	3	21	28	36	0.4375	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	16750000	17000000	P5_DCIS	0.782503	102	52	2117	3198	0.398307	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	16750000	17000000	P5_INV	0.743745	73	37	1139	1591	0.417216	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	17000000	17250000	P5_DCIS	0.789759	63	52	1349	1969	0.40657	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	17000000	17250000	P5_INV	0.738509	46	43	850	1136	0.427996	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	17250000	17500000	P5_DCIS	0.870378	20	35	311	400	0.437412	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	17250000	17500000	P5_INV	0.824186	17	23	150	249	0.37594	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	17500000	17750000	P5_DCIS	0.865459	36	42	662	851	0.437541	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	17500000	17750000	P5_INV	0.845491	26	35	390	521	0.428101	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	17750000	18000000	P5_DCIS	0.832985	13	35	200	265	0.430108	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	17750000	18000000	P5_INV	0.804032	8	39	145	169	0.461783	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	18000000	18250000	P5_DCIS	0.755488	3	22	30	37	0.447761	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	18000000	18250000	P5_INV	0.797332	3	12	17	20	0.459459	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	18500000	18750000	P5_DCIS	0.740696	6	19	44	70	0.385965	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	18500000	18750000	P5_INV	0.811685	3	13	16	24	0.4	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	18750000	19000000	P5_DCIS	0.802382	8	27	95	124	0.43379	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	18750000	19000000	P5_INV	0.836758	6	19	46	70	0.396552	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	19000000	19250000	P5_DCIS	0.793117	24	38	397	516	0.43483	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	19000000	19250000	P5_INV	0.766422	16	27	189	256	0.424719	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	19250000	19500000	P5_DCIS	0.800813	3	28	38	46	0.452381	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	19250000	19500000	P5_INV	0.770105	1	31	14	17	0.451613	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	19500000	19750000	P5_DCIS	0.879739	19	57	506	591	0.461258	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	19500000	19750000	P5_INV	0.845435	17	44	326	432	0.430079	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	19750000	20000000	P5_DCIS	0.873669	4	35	65	78	0.454545	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	19750000	20000000	P5_INV	0.823628	3	19	22	37	0.372881	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	20000000	20250000	P5_DCIS	0.840225	13	41	227	316	0.418048	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	20000000	20250000	P5_INV	0.804483	11	34	159	215	0.425134	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	20250000	20500000	P5_DCIS	0.782467	10	27	121	152	0.443223	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	20250000	20500000	P5_INV	0.81873	4	28	53	59	0.473214	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	20500000	20750000	P5_DCIS	0.833074	3	68	93	111	0.455882	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	20500000	20750000	P5_INV	0.783207	3	43	57	74	0.435115	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	20750000	21000000	P5_DCIS	0.879588	11	45	211	290	0.421158	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	20750000	21000000	P5_INV	0.860697	8	36	126	162	0.4375	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	21250000	21500000	P5_DCIS	0.802059	2	106	98	115	0.460094	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	21250000	21500000	P5_INV	0.93679	2	124	114	134	0.459677	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	21500000	21750000	P5_DCIS	0.935004	1	27	10	17	0.37037	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	21500000	21750000	P5_INV	0.875376	1	19	9	10	0.473684	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	21750000	22000000	P5_DCIS	0.758691	30	46	591	815	0.420341	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	21750000	22000000	P5_INV	0.80005	21	43	376	528	0.415929	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	22000000	22250000	P5_DCIS	0.859998	37	28	449	607	0.425189	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	22000000	22250000	P5_INV	0.89195	25	21	225	318	0.414365	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	22250000	22500000	P5_DCIS	0.947864	18	64	525	637	0.451807	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	22250000	22500000	P5_INV	0.849079	16	41	289	376	0.434586	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	22750000	23000000	P5_DCIS	0.757843	8	59	228	248	0.478992	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	22750000	23000000	P5_INV	0.754981	6	63	162	219	0.425197	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	23000000	23250000	P5_DCIS	0.799033	6	32	81	114	0.415385	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	23000000	23250000	P5_INV	0.826662	3	23	29	40	0.42029	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	23250000	23500000	P5_DCIS	0.800131	2	51	41	61	0.401961	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	23250000	23500000	P5_INV	0.828049	2	13	13	14	0.481481	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	23500000	23750000	P5_DCIS	0.888144	14	58	365	449	0.448403	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	23500000	23750000	P5_INV	0.902053	10	42	175	245	0.416667	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	23750000	24000000	P5_DCIS	0.902676	8	32	111	152	0.422053	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	23750000	24000000	P5_INV	0.812861	4	22	34	57	0.373626	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	24000000	24250000	P5_DCIS	0.953214	25	53	621	721	0.462742	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	24000000	24250000	P5_INV	0.923157	19	45	361	511	0.413991	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	24250000	24500000	P5_DCIS	0.839626	3	47	69	73	0.485915	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	24250000	24500000	P5_INV	0.790957	2	47	45	49	0.478723	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	24500000	24750000	P5_DCIS	0.818802	21	52	469	627	0.42792	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	24500000	24750000	P5_INV	0.815578	12	55	296	365	0.447806	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	24750000	25000000	P5_DCIS	0.872616	10	60	267	341	0.439145	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	24750000	25000000	P5_INV	0.89079	7	52	164	200	0.450549	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	25250000	25500000	P5_DCIS	0.893889	2	46	39	53	0.423913	18	1|1	0.320065	3|2	0	3|2	0.297808	3|2	0.195104	3|2	0.187023
chr1	25250000	25500000	P5_INV	0.84859	1	66	23	43	0.348485	18	1|1	0.55936	3|2	0.279445	3|2	0	3|2	0.161195	3|2	0
chr1	25500000	25750000	P5_DCIS	0.87933	6	61	170	197	0.463215	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	25500000	25750000	P5_INV	0.856173	4	48	89	106	0.45641	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	25750000	26000000	P5_DCIS	0.836538	14	30	183	244	0.428571	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	25750000	26000000	P5_INV	0.885062	9	25	103	128	0.445887	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	26000000	26250000	P5_DCIS	0.931547	9	46	175	240	0.421687	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	26000000	26250000	P5_INV	0.863681	7	31	99	121	0.45	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	26250000	26500000	P5_DCIS	0.926825	18	49	402	496	0.447661	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
chr1	26250000	26500000	P5_INV	0.837781	12	38	209	247	0.458333	12	1|1	0.55936	2|2	0.279445	2|2	0	2|2	0.161195	2|2	0
chr1	26500000	26750000	P5_DCIS	0.924087	26	38	432	581	0.426456	12	1|1	0.320065	2|2	0	2|2	0.297808	2|2	0.195104	2|2	0.187023
