#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER
chr1	16000000	16250000	P6_DCIS	1.1961282774627113	5	145.6	301	427	0.41346153846153844	18
chr1	16000000	16250000	P6_INV	1.2489914026971745	5	61.4	132	175	0.42996742671009774	18
chr1	16250000	16500000	P6_DCIS	1.0820803169319595	12	50	207	393	0.345	18
chr1	16250000	16500000	P6_INV	1.1232134996160572	12	21.333333333333332	89	167	0.34765625	18
chr1	16500000	16750000	P6_DCIS	1.168378796932819	20	62.75	543	712	0.43266932270916336	18
chr1	16500000	16750000	P6_INV	1.221390194918321	18	32	236	340	0.4097222222222222	18
chr1	16750000	17000000	P6_DCIS	1.074473794862749	111	77.34234234234235	3414	5171	0.3976703552708212	18
chr1	16750000	17000000	P6_INV	1.1593626213895158	108	53.4537037037037	2401	3372	0.41590161094751427	18
chr1	17000000	17250000	P6_DCIS	1.0829325451603562	50	86.66	1743	2590	0.40226171243941844	18
chr1	17000000	17250000	P6_INV	1.052305330204011	40	45.25	717	1093	0.3961325966850829	18
chr1	17250000	17500000	P6_DCIS	1.141235085278026	54	70.94444444444444	1575	2256	0.4111198120595145	18
chr1	17250000	17500000	P6_INV	1.1840521190647366	50	30.58	583	946	0.381294964028777	18
chr1	17500000	17750000	P6_DCIS	1.1165518738316158	15	96.86666666666666	662	791	0.4556090846524432	18
chr1	17500000	17750000	P6_INV	1.1858882381991402	15	45.266666666666666	299	380	0.44035346097201766	18
chr1	17750000	18000000	P6_DCIS	1.1537081840285233	8	85.125	292	389	0.4287812041116006	18
chr1	17750000	18000000	P6_INV	1.1171515861053702	7	43.857142857142854	129	178	0.4201954397394137	18
chr1	18000000	18250000	P6_DCIS	1.5119019817892532	6	48.5	128	163	0.43986254295532645	18
chr1	18000000	18250000	P6_INV	1.2180499112866494	6	24.166666666666668	50	95	0.3448275862068966	18
chr1	18500000	18750000	P6_DCIS	1.2360379483300812	4	60.25	110	131	0.45643153526970953	18
chr1	18500000	18750000	P6_INV	1.1904081559989645	4	29	55	61	0.47413793103448276	18
chr1	18750000	19000000	P6_DCIS	1.2471159641850083	6	55.666666666666664	151	183	0.45209580838323354	18
chr1	18750000	19000000	P6_INV	1.2054601460919296	5	26	53	77	0.4076923076923077	18
chr1	19000000	19250000	P6_DCIS	1.1090188023619418	16	104.625	759	915	0.45340501792114696	18
chr1	19000000	19250000	P6_INV	1.1087661350885845	16	49.4375	341	450	0.4310998735777497	18
chr1	19250000	19500000	P6_DCIS	1.0522683038678413	3	109	145	182	0.4434250764525994	18
chr1	19250000	19500000	P6_INV	1.135464085315444	3	36	44	64	0.4074074074074074	18
chr1	19500000	19750000	P6_DCIS	1.084841381497144	5	89	183	262	0.41123595505617977	18
chr1	19500000	19750000	P6_INV	1.1759796110200795	4	40.25	74	87	0.45962732919254656	18
chr1	19750000	20000000	P6_DCIS	1.2878969969013283	4	47	80	108	0.425531914893617	18
chr1	19750000	20000000	P6_INV	1.2250369835827408	4	21.5	41	45	0.47674418604651164	18
chr1	20000000	20250000	P6_DCIS	1.1446631072761595	8	75	262	338	0.43666666666666665	18
chr1	20000000	20250000	P6_INV	1.1931514833587593	8	31.875	110	145	0.43137254901960786	18
chr1	20250000	20500000	P6_DCIS	1.1607646100889362	4	69.5	129	149	0.46402877697841727	18
chr1	20250000	20500000	P6_INV	1.193306434825924	4	30	45	75	0.375	18
chr1	20500000	20750000	P6_DCIS	1.1383331357747757	8	83.25	277	389	0.4159159159159159	18
chr1	20500000	20750000	P6_INV	1.114692955676411	8	35.375	120	163	0.42402826855123676	18
chr1	20750000	21000000	P6_DCIS	1.17855281789075	19	86.15789473684211	725	912	0.4428833231521075	18
chr1	20750000	21000000	P6_INV	1.199636534435536	17	40.64705882352941	310	381	0.44862518089725034	18
chr1	21000000	21250000	P6_DCIS	1.139932081076681	30	79.46666666666667	1071	1313	0.44924496644295303	18
chr1	21000000	21250000	P6_INV	1.2050091659113438	25	40.12	405	598	0.4037886340977069	18
chr1	21250000	21500000	P6_DCIS	1.2810498693299504	3	149	189	258	0.4228187919463087	18
chr1	21250000	21500000	P6_INV	1.2406164227652519	3	58.666666666666664	85	91	0.48295454545454547	18
chr1	21750000	22000000	P6_DCIS	1.0852135511096042	31	103.29032258064517	1356	1846	0.42348532167395375	18
chr1	21750000	22000000	P6_INV	1.1551922641130052	29	55.51724137931034	631	979	0.3919254658385093	18
chr1	22000000	22250000	P6_DCIS	1.1292278839106702	16	44.6875	313	402	0.43776223776223777	18
chr1	22000000	22250000	P6_INV	1.199886822588752	14	18.785714285714285	101	162	0.3840304182509506	18
chr1	22250000	22500000	P6_DCIS	1.197996207457755	22	79.9090909090909	725	1033	0.4124004550625711	18
chr1	22250000	22500000	P6_INV	1.1812974826489075	17	37.1764705882353	259	373	0.4098101265822785	18
chr1	22750000	23000000	P6_DCIS	1.080669606250784	17	83.58823529411765	626	795	0.44053483462350457	18
chr1	22750000	23000000	P6_INV	1.1056786926141673	16	42.375	259	419	0.38200589970501475	18
chr1	23000000	23250000	P6_DCIS	1.1901807929823207	1	25	11	14	0.44	18
chr1	23000000	23250000	P6_INV	1.1205395003904484	1	15	3	12	0.2	18
chr1	23250000	23500000	P6_DCIS	1.1059570711450695	4	64.75	117	142	0.4517374517374517	18
chr1	23250000	23500000	P6_INV	1.1187807776070322	4	21.5	34	52	0.3953488372093023	18
chr1	23500000	23750000	P6_DCIS	1.176189541998876	12	75.83333333333333	410	500	0.45054945054945056	18
chr1	23500000	23750000	P6_INV	1.2334549004883548	12	33.25	157	242	0.39348370927318294	18
chr1	23750000	24000000	P6_DCIS	1.1794883615987577	9	44.55555555555556	174	227	0.4339152119700748	18
chr1	23750000	24000000	P6_INV	1.2356176868122821	8	23.375	75	112	0.40106951871657753	18
chr1	24000000	24250000	P6_DCIS	1.1183960235305084	1	66	29	37	0.4393939393939394	18
chr1	24000000	24250000	P6_INV	1.2074042984441358	1	29	13	16	0.4482758620689655	18
chr1	24250000	24500000	P6_DCIS	1.10435610033478	40	81.525	1450	1811	0.4446488807114382	18
chr1	24250000	24500000	P6_INV	1.1724232393117224	35	39.714285714285715	586	804	0.42158273381294964	18
chr1	24500000	24750000	P6_DCIS	1.1001539219518974	17	99.82352941176471	753	944	0.44372421921037125	18
chr1	24500000	24750000	P6_INV	1.1537217162151119	16	47.125	324	430	0.4297082228116711	18
chr1	24750000	25000000	P6_DCIS	1.1528586647762025	5	39.8	89	110	0.4472361809045226	18
chr1	24750000	25000000	P6_INV	1.2445414248828792	4	23.75	37	58	0.3894736842105263	18
chr1	25250000	25500000	P6_DCIS	1.2195739786683912	6	56.833333333333336	163	178	0.4780058651026393	18
chr1	25250000	25500000	P6_INV	1.2186751602885162	6	22.5	50	85	0.37037037037037035	18
chr1	25500000	25750000	P6_DCIS	1.1583160554384249	3	119	156	201	0.4369747899159664	18
chr1	25500000	25750000	P6_INV	1.1894713634552965	3	53	64	95	0.4025157232704403	18
chr1	26000000	26250000	P6_DCIS	1.0930649899774592	3	102.66666666666667	137	171	0.4448051948051948	18
chr1	26000000	26250000	P6_INV	1.1570665723457183	3	52.333333333333336	69	88	0.4394904458598726	18
chr1	26250000	26500000	P6_DCIS	1.1097007783815125	5	77.2	179	207	0.4637305699481865	18
chr1	26250000	26500000	P6_INV	1.1350542446935414	4	32.5	51	79	0.3923076923076923	18
chr1	26500000	26750000	P6_DCIS	1.13728943044995	42	70.52380952380952	1270	1692	0.4287643484132343	18
chr1	26500000	26750000	P6_INV	1.224576336734602	38	33.5	541	732	0.42498036135113904	18
chr1	26750000	27000000	P6_DCIS	1.1770573528608665	16	75.8125	503	710	0.41467436108821104	18
chr1	26750000	27000000	P6_INV	1.2183458651879249	13	39.76923076923077	203	314	0.39264990328820115	18
chr1	27000000	27250000	P6_DCIS	1.1425181302484946	12	49.5	254	340	0.4276094276094276	18
chr1	27000000	27250000	P6_INV	1.184402444776059	10	27.3	107	166	0.39194139194139194	18
chr1	27250000	27500000	P6_DCIS	1.1789454929762206	8	49.875	190	209	0.47619047619047616	18
chr1	27250000	27500000	P6_INV	1.2308662391573117	7	25.428571428571427	79	99	0.4438202247191011	18
chr1	27500000	27750000	P6_DCIS	1.123039726595874	10	79.8	375	423	0.4699248120300752	18
chr1	27500000	27750000	P6_INV	1.1722219029686922	10	30.3	119	184	0.3927392739273927	18
chr1	27750000	28000000	P6_DCIS	1.1897490708100509	3	60	75	105	0.4166666666666667	18
chr1	27750000	28000000	P6_INV	1.1294100809665262	3	29.666666666666668	39	50	0.43820224719101125	18
chr1	28000000	28250000	P6_DCIS	1.1645245050107307	4	111.75	207	240	0.46308724832214765	18
chr1	28000000	28250000	P6_INV	1.239705471759658	4	48.25	75	118	0.38860103626943004	18
chr1	28250000	28500000	P6_DCIS	1.1372041263525454	11	79.36363636363636	405	468	0.4639175257731959	18
chr1	28250000	28500000	P6_INV	1.1991237498454248	10	33.3	146	187	0.43843843843843844	18
chr1	28500000	28750000	P6_DCIS	1.1806256149673975	3	162.66666666666666	228	260	0.4672131147540984	18
chr1	28500000	28750000	P6_INV	1.2024561659296593	2	113.5	106	121	0.4669603524229075	18
chr1	28750000	29000000	P6_DCIS	1.1597753597838956	10	92.3	414	509	0.4485373781148429	18
chr1	28750000	29000000	P6_INV	1.2380280172390343	7	59.857142857142854	188	231	0.4486873508353222	18
chr1	29000000	29250000	P6_DCIS	1.2448638203175522	2	29	23	35	0.39655172413793105	18
chr1	29000000	29250000	P6_INV	1.3063437995642464	2	12.5	7	18	0.28	18
chr1	29500000	29750000	P6_DCIS	1.105941853460241	3	34.666666666666664	46	58	0.4423076923076923	18
chr1	29500000	29750000	P6_INV	1.1222577946146235	2	19.5	17	22	0.4358974358974359	18
chr1	30500000	30750000	P6_DCIS	1.5421137598331724	1	52	24	28	0.46153846153846156	18
chr1	30500000	30750000	P6_INV	1.1564313716463093	1	30	12	18	0.4	18
chr1	31000000	31250000	P6_DCIS	1.1262605629844302	6	93.83333333333333	236	327	0.4191829484902309	18
chr1	31000000	31250000	P6_INV	1.0749016698682254	5	56	115	165	0.4107142857142857	18
chr1	31250000	31500000	P6_DCIS	1.1206133218627377	1	179	88	91	0.49162011173184356	18
chr1	31250000	31500000	P6_INV	1.1432298597252861	1	90	37	53	0.4111111111111111	18
chr1	31500000	31750000	P6_DCIS	1.2761524235906954	4	113.75	200	255	0.43956043956043955	18
chr1	31500000	31750000	P6_INV	1.2411751164739986	4	48.25	88	105	0.45595854922279794	18
chr1	31750000	32000000	P6_DCIS	1.142070590354856	8	58.375	196	271	0.4197002141327623	18
chr1	31750000	32000000	P6_INV	1.2160366544413743	7	30.142857142857142	79	132	0.3744075829383886	18
chr1	32000000	32250000	P6_DCIS	1.0650207849215376	17	69.88235294117646	539	649	0.4537037037037037	18
chr1	32000000	32250000	P6_INV	1.077193356396133	17	30.235294117647058	207	307	0.4027237354085603	18
chr1	32250000	32500000	P6_DCIS	1.2313819446808731	4	59.5	110	128	0.46218487394957986	18
chr1	32250000	32500000	P6_INV	1.246109144761383	4	26.5	48	58	0.4528301886792453	18
chr1	32500000	32750000	P6_DCIS	1.118769618066929	5	40.4	87	115	0.4306930693069307	18
chr1	32500000	32750000	P6_INV	1.1980056116827675	4	20.5	36	46	0.43902439024390244	18
chr1	32750000	33000000	P6_DCIS	1.16134026853587	1	11	2	9	0.18181818181818182	18
chr1	32750000	33000000	P6_INV	1.1780645269606949	1	9	3	6	0.3333333333333333	18
chr1	33000000	33250000	P6_DCIS	1.2215245338435223	9	30.88888888888889	117	161	0.420863309352518	18
chr1	33000000	33250000	P6_INV	1.271143040925095	6	18.666666666666668	48	64	0.42857142857142855	18
chr1	33250000	33500000	P6_DCIS	1.1275037254306928	5	63.6	141	177	0.44339622641509435	18
chr1	33250000	33500000	P6_INV	1.2021110460193418	3	42.333333333333336	49	78	0.3858267716535433	18
chr1	33500000	33750000	P6_DCIS	1.164313430433873	6	46.833333333333336	121	160	0.4306049822064057	18
chr1	33500000	33750000	P6_INV	1.14229839932036	5	24.4	54	68	0.4426229508196721	18
chr1	33750000	34000000	P6_DCIS	1.0596400592076756	18	55.22222222222222	455	539	0.45774647887323944	18
chr1	33750000	34000000	P6_INV	1.116504352159889	16	27.125	169	265	0.38940092165898615	18
chr1	34000000	34250000	P6_DCIS	1.079522650166014	22	86.5	858	1045	0.4508670520231214	18
chr1	34000000	34250000	P6_INV	1.1044869133283142	16	47.9375	334	433	0.43546284224250326	18
chr1	34250000	34500000	P6_DCIS	1.1721062423901056	8	76.375	290	321	0.4746317512274959	18
chr1	34250000	34500000	P6_INV	1.1442370369827595	5	43	96	119	0.44651162790697674	18
chr1	34500000	34750000	P6_DCIS	1.168986290837826	3	45	64	71	0.4740740740740741	18
chr1	34500000	34750000	P6_INV	1.058540611208787	2	22	16	28	0.36363636363636365	18
chr1	35000000	35250000	P6_DCIS	1.1956473088751387	3	30.333333333333332	38	53	0.4175824175824176	18
chr1	35000000	35250000	P6_INV	1.0507452576029999	3	16	16	32	0.3333333333333333	18
chr1	35250000	35500000	P6_DCIS	1.0852602378325407	5	99.8	237	262	0.4749498997995992	18
chr1	35250000	35500000	P6_INV	1.0970392731603902	5	38.8	78	116	0.4020618556701031	18
chr1	35500000	35750000	P6_DCIS	1.1948104491710712	1	175	75	100	0.42857142857142855	18
chr1	35500000	35750000	P6_INV	1.1894371626771043	1	88	40	48	0.45454545454545453	18
chr1	36000000	36250000	P6_DCIS	1.1032733051590609	1	67	32	35	0.47761194029850745	18
chr1	36000000	36250000	P6_INV	1.1015772861981128	1	21	9	12	0.42857142857142855	18
chr1	36250000	36500000	P6_DCIS	1.1232380831299382	2	137	126	148	0.45985401459854014	18
chr1	36250000	36500000	P6_INV	1.1695499485234904	2	59	47	71	0.3983050847457627	18
chr1	36500000	36750000	P6_DCIS	1.1985025632626902	1	127	56	71	0.4409448818897638	18
chr1	36500000	36750000	P6_INV	1.25053233928774	1	47	17	30	0.3617021276595745	18
chr1	36750000	37000000	P6_DCIS	1.1186032048402708	18	114.27777777777777	935	1122	0.45454545454545453	18
chr1	36750000	37000000	P6_INV	1.1722816107324163	18	56.888888888888886	424	600	0.4140625	18
chr1	37500000	37750000	P6_DCIS	1.286912547463529	2	70.5	59	82	0.41843971631205673	18
chr1	37500000	37750000	P6_INV	1.1050674162806136	2	42.5	32	53	0.3764705882352941	18
chr1	37750000	38000000	P6_DCIS	1.2333615307666719	8	60.875	222	265	0.45585215605749485	18
chr1	37750000	38000000	P6_INV	1.1728413642481827	6	27.833333333333332	76	91	0.4550898203592814	18
chr1	38000000	38250000	P6_DCIS	1.0847823133309191	30	90.53333333333333	1221	1495	0.4495581737849779	18
chr1	38000000	38250000	P6_INV	1.1750874423229074	27	45.96296296296296	523	718	0.42143432715551976	18
chr1	38250000	38500000	P6_DCIS	1.1338461697233295	25	103.6	1144	1446	0.4416988416988417	18
chr1	38250000	38500000	P6_INV	1.2152136696583746	21	54.333333333333336	475	666	0.4163014899211218	18
chr1	39250000	39500000	P6_DCIS	1.185121366005179	13	97.92307692307692	567	706	0.44540455616653574	18
chr1	39250000	39500000	P6_INV	1.2124140271553294	11	55.54545454545455	254	357	0.4157119476268412	18
chr1	39500000	39750000	P6_DCIS	1.247466990098317	2	49	45	53	0.45918367346938777	18
chr1	39500000	39750000	P6_INV	1.1536035962252202	4	96	162	222	0.421875	18
chr1	39750000	40000000	P6_DCIS	1.0581586090301962	30	98.1	1295	1648	0.4400271831464492	18
chr1	39750000	40000000	P6_INV	1.128752103559161	29	47.13793103448276	537	830	0.3928310168251646	18
chr1	40000000	40250000	P6_DCIS	1.1349933128719085	10	67	278	392	0.41492537313432837	18
chr1	40000000	40250000	P6_INV	1.1689785325912991	9	28.666666666666668	114	144	0.4418604651162791	18
chr1	40250000	40500000	P6_DCIS	1.131531314930193	2	146.5	143	150	0.4880546075085324	18
chr1	40250000	40500000	P6_INV	1.176796758810565	1	116	53	63	0.45689655172413796	18
chr1	40500000	40750000	P6_DCIS	1.1322687621477252	11	102.81818181818181	510	621	0.4509283819628647	18
chr1	40500000	40750000	P6_INV	1.1825121093912305	11	43	204	269	0.4312896405919662	18
chr1	40750000	41000000	P6_DCIS	1.1269090400535147	13	94.3076923076923	539	687	0.4396411092985318	18
chr1	40750000	41000000	P6_INV	1.1961354129228403	12	44.916666666666664	219	320	0.40630797773654914	18
chr1	41000000	41250000	P6_DCIS	1.1720562435785198	6	45	122	148	0.45185185185185184	18
chr1	41000000	41250000	P6_INV	1.1790753661955882	5	18	32	58	0.35555555555555557	18
chr1	41250000	41500000	P6_DCIS	1.0901378634708603	16	63.6875	458	561	0.4494602551521099	18
chr1	41250000	41500000	P6_INV	1.1587596029188287	15	34	217	293	0.42549019607843136	18
chr1	41500000	41750000	P6_DCIS	1.114531095033882	1	63	28	35	0.4444444444444444	18
chr1	41500000	41750000	P6_INV	1.1236559942506361	1	26	11	15	0.4230769230769231	18
chr1	41750000	42000000	P6_DCIS	1.2642047394580331	4	28.75	44	71	0.3826086956521739	18
chr1	41750000	42000000	P6_INV	1.1639953295409273	3	17.666666666666668	19	34	0.3584905660377358	18
chr1	42000000	42250000	P6_DCIS	1.1897055707291226	4	55.75	101	122	0.452914798206278	18
chr1	42000000	42250000	P6_INV	1.1525802102646956	4	27	41	67	0.37962962962962965	18
chr1	42500000	42750000	P6_DCIS	1.179699490512441	1	39	17	22	0.4358974358974359	18
chr1	42500000	42750000	P6_INV	1.1235839511830958	1	12	6	6	0.5	18
chr1	42750000	43000000	P6_DCIS	1.1578117794805882	10	100.7	446	561	0.4428997020854022	18
chr1	42750000	43000000	P6_INV	1.151274581391045	9	51.22222222222222	197	264	0.42733188720173537	18
chr1	43000000	43250000	P6_DCIS	1.1126263044200075	20	100.35	892	1115	0.4444444444444444	18
chr1	43000000	43250000	P6_INV	1.1575202348999876	16	53.1875	349	502	0.4101057579318449	18
chr1	43250000	43500000	P6_DCIS	1.1155716053337716	12	74.08333333333333	381	508	0.42857142857142855	18
chr1	43250000	43500000	P6_INV	1.1539134389612549	11	37.36363636363637	155	256	0.3771289537712895	18
chr1	43500000	43750000	P6_DCIS	1.0893974546320715	17	104.52941176470588	788	989	0.4434440067529544	18
