#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr1	30500000	30750000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	31000000	32750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	31000000	32750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	32750000	33000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr1	32750000	33000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr1	33000000	33250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	33000000	33250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	33250000	34750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	33250000	34750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	35000000	35250000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	35000000	35250000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	35250000	35750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	35250000	35750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	36000000	37000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	36000000	37000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	37500000	38500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	37500000	38500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	39250000	42250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	39250000	42250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	42500000	46000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	42500000	46000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	46250000	48000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	46250000	48000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	48000000	48250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	48000000	48250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	48500000	48750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|1	0.20668	1|1	0.0688117
chr1	48500000	48750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|1	0	1|1	0.297002
chr1	49000000	49250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	49000000	49250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	49250000	49500000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	49250000	49500000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	50500000	50750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|1	0.20668	1|1	0.0688117
chr1	50500000	50750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|1	0	1|1	0.297002
chr1	50750000	52000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	50750000	52000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	52250000	54000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	52250000	54000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	54000000	54250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	54000000	54250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	54250000	56000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	54250000	56000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	56500000	56750000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	5|1	0.20668	1|0	0.0688117
chr1	56500000	56750000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	5|1	0	1|0	0.297002
chr1	56750000	57000000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	56750000	57000000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	57000000	57500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	57000000	57500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	58500000	58750000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	58500000	58750000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	58750000	59250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	58750000	59250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	60250000	60750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	60250000	60750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	61500000	61750000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	61500000	61750000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	61750000	62750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	61750000	62750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	63500000	63750000	P6_DCIS	1|1	0.231405	1|1	0.388704	5|1	0.1044	5|1	0.20668	1|0	0.0688117
chr1	63500000	63750000	P6_INV	1|1	0.179193	1|1	0.463232	5|1	0.0605726	5|1	0	1|0	0.297002
chr1	63750000	64250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	63750000	64250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	64250000	64500000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	64250000	64500000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	64500000	64750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	64500000	64750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	65000000	66250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	65000000	66250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	66750000	67750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	66750000	67750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	68000000	68250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	68000000	68250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	68500000	69000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	68500000	69000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	70250000	70750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	70250000	70750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	70750000	71000000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	2|0	0.20668	2|0	0.0688117
chr1	70750000	71000000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	2|0	0	2|0	0.297002
chr1	71250000	71500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	71250000	71500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	71500000	71750000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	71500000	71750000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	72500000	72750000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	72500000	72750000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	74250000	75250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	74250000	75250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	75500000	75750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	75500000	75750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	75750000	76000000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	75750000	76000000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	76000000	76500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	76000000	76500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	77500000	78750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	77500000	78750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	79000000	79750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	79000000	79750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	80500000	80750000	P6_DCIS	1|1	0.231405	1|1	0.388704	2|2	0.1044	2|2	0.20668	1|1	0.0688117
chr1	80500000	80750000	P6_INV	1|1	0.179193	1|1	0.463232	2|2	0.0605726	2|2	0	1|1	0.297002
chr1	80750000	81000000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	80750000	81000000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	81750000	82000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	81750000	82000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	82000000	82250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	5|1	0.20668	1|0	0.0688117
chr1	82000000	82250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	5|1	0	1|0	0.297002
chr1	82250000	82500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	82250000	82500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	82500000	82750000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	5|1	0.20668	1|0	0.0688117
chr1	82500000	82750000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	5|1	0	1|0	0.297002
chr1	83000000	83250000	P6_DCIS	1|1	0.231405	1|1	0.388704	2|2	0.1044	2|2	0.20668	1|1	0.0688117
chr1	83000000	83250000	P6_INV	1|1	0.179193	1|1	0.463232	2|2	0.0605726	2|2	0	1|1	0.297002
chr1	84250000	85750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	84250000	85750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	86000000	87250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	86000000	87250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	87750000	88000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	87750000	88000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	88750000	89000000	P6_DCIS	1|1	0.231405	1|1	0.388704	5|1	0.1044	5|1	0.20668	1|0	0.0688117
chr1	88750000	89000000	P6_INV	1|1	0.179193	1|1	0.463232	5|1	0.0605726	5|1	0	1|0	0.297002
chr1	89250000	90500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	89250000	90500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	91000000	91250000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	91000000	91250000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	91250000	93500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	91250000	93500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	93500000	93750000	P6_DCIS	1|1	0.231405	1|0	0.388704	0|0	0.1044	1|1	0.20668	1|1	0.0688117
chr1	93500000	93750000	P6_INV	1|1	0.179193	1|0	0.463232	0|0	0.0605726	1|1	0	1|1	0.297002
chr1	94000000	94250000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	94000000	94250000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	94250000	95000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	94250000	95000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	95250000	95500000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	95250000	95500000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	97000000	97250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	97000000	97250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	97500000	97750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|1	0.20668	1|1	0.0688117
chr1	97500000	97750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|1	0	1|1	0.297002
chr1	97750000	98000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	97750000	98000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	98250000	98500000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	98250000	98500000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	99000000	99500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	99000000	99500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	99750000	100000000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	1|1	0.20668	1|1	0.0688117
chr1	99750000	100000000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	1|1	0	1|1	0.297002
chr1	100000000	100250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	100000000	100250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	100750000	101500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	100750000	101500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	101500000	101750000	P6_DCIS	1|1	0.231405	1|1	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr1	101500000	101750000	P6_INV	1|1	0.179193	1|1	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr1	102250000	102500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	102250000	102500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	103250000	103500000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr1	103250000	103500000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr1	104000000	104250000	P6_DCIS	1|1	0.231405	1|0	0.388704	0|0	0.1044	1|1	0.20668	1|1	0.0688117
chr1	104000000	104250000	P6_INV	1|1	0.179193	1|0	0.463232	0|0	0.0605726	1|1	0	1|1	0.297002
